accession_number	call_number	title	author	book_place	book_publisher	year	book_edition	description	book_isbn	book_supplementary	subject
1352	AE 5 G875 2002 v.23	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	23rd	NA	071720153X		Encyclopedia
1353	AE 5 G875 2002 v.24	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	24th	NA	071720153X		Encyclopedia
1354	AE 5 G875 2002 v.25	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	25th	NA	071720153X		Encyclopedia
1355	AE 5 G875 2002 v.26	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	26th	NA	071720153X		Encyclopedia
1356	AE 5 G875 2002 v.27	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	27th	NA	071720153X		Encyclopedia
1357	AE 5 G875 2002 v.28	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	28th	NA	071720153X		Encyclopedia
1358	AE 5 G875 2002 v.29	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	29th	NA	071720153X		Encyclopedia
1332	AE 5 G875 2002 v.3	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	3rd	NA	071720153X		Encyclopedia
1359	AE 5 G875 2002 v.30	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	30th	NA	071720153X		Encyclopedia
1333	AE 5 G875 2002 v.4	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	4th	NA	071720153X		Encyclopedia
1334	AE 5 G875 2002 v.5	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	5th	NA	071720153X		Encyclopedia
1335	AE 5 G875 2002 v.6	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	6th	NA	071720153X		Encyclopedia
1336	AE 5 G875 2002 v.7	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	7th	NA	071720153X		Encyclopedia
1337	AE 5 G875 2002 v.8	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	8th	NA	071720153X		Encyclopedia
1338	AE 5 G875 2002 v.9	Encyclopedia Americana		United States of America	"Grolier International, Inc."	2002	9th	NA	071720153X		Encyclopedia
1301	AE 5 G894  1998 v.18	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	18th	NA	717253708		Encyclopedia
1287	AE 5 G894 1970 v.4	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	4th	NA	717253708		Encyclopedia
1288	AE 5 G894 1970 v.5	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	5th	NA	717253708		Encyclopedia
1284	AE 5 G894 1998 v.1	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	1st	NA	717253708		Encyclopedia
1293	AE 5 G894 1998 v.10	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	10th	NA	717253708		Encyclopedia
1294	AE 5 G894 1998 v.11	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	11th	NA	717253708		Encyclopedia
1295	AE 5 G894 1998 v.12	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	12th	NA	717253708		Encyclopedia
1296	AE 5 G894 1998 v.13	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	13th	NA	717253708		Encyclopedia
1297	AE 5 G894 1998 v.14	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	14th	NA	717253708		Encyclopedia
1298	AE 5 G894 1998 v.15	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	15th	NA	717253708		Encyclopedia
1299	AE 5 G894 1998 v.16	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	16th	NA	717253708		Encyclopedia
1300	AE 5 G894 1998 v.17	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	17th	NA	717253708		Encyclopedia
1302	AE 5 G894 1998 v.19	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	19th	NA	717253708		Encyclopedia
1285	AE 5 G894 1998 v.2	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	2nd	NA	717253708		Encyclopedia
1303	AE 5 G894 1998 v.20	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	20th	NA	717253708		Encyclopedia
1286	AE 5 G894 1998 v.3	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	3rd	NA	717253708		Encyclopedia
1289	AE 5 G894 1998 v.6	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	6th	NA	717253708		Encyclopedia
1290	AE 5 G894 1998 v.7	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	7th	NA	717253708		Encyclopedia
1291	AE 5 G894 1998 v.8	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	8th	NA	717253708		Encyclopedia
1292	AE 5 G894 1998 v.9	Grolier encyclopedia of knowledge		United States of America	Grolier International	1998	9th	NA	717253708		Encyclopedia
1361	AE 5 R1329 1975 v.5	Columbia encylopedia	"Raimes, James"	NA	John D. Moore	1975	NA	NA	039562438X		Encyclopedia
8109	AE 5 S7131 2018	The Encyclopedia of Misinformation	"Sorgatz, Rex"		Abrams Image	2018	na	na	9.78142E+12		Encyclopedia
6937	AG 44.5 S5241 1972	Dictionary of Literary Terms	"Shaw, Harry "	New York	McGraw Hill	1972	na	NA	70564906		Literature -- Termonology
7163	AG 5 . V473 [1900]	A Dictionary of Synonums and Antonyms	Ashok K. Verna		Virinder Kumar Verma	1900	na	NA	na		English language -- Synonyms and antonyms
7170	AG 5 C553 1973	The Nuttall Dictionary of english Synonyms and Antonyms	"Christ, G. Elgie"	London	"Frederick Warne & Co., LTD"	1973	Revised	305 pages ; 21 cm	723201641		English language -- Synonyms and Antonyms -- Dictionaries.
7165	AG 5 D3171 1968	"New English-Filipino, Filipino-English Dictionary"	"De Guzman, Maria Odulio"	"Mandaluyong City, Philippines"	National Book Store	1968	na	195 pages ; 17 cm	917084587		Filipino language -- Dictionaries -- English. English language -- Dictionaries -- Pilipino.
7167	AG 5 F345 2000	The new penguin dictionary of abbreviations	"Fergusson, Rosalind"	England	Penguin Group	2000	na	410 pages ; 20cm	140514414		Abbreviations. English -- Dictionaries.
8035	AG 5 M8271 2003	The penguin webster handy college dictionary	"Morehead, Philip D. "	USA	Penguin Putnam Inc.	2003	3rd	796 pages ; 21 cm	9.78014E+12		English language--Dictionaries.
1090	AG 5 N53211 1967	New Handy |Webster Dictionary	A world webster	Philippines	The world publishing company	1959	na	 378 pages : illustrstions ; 14 cm	NA		Dictionary
8034	AG 5 N582 2016	Webster's new world	"Nichols, Bruce"	USA	Houghton Miffin Harcourt Publishing Company	2016	5th	738 pages ; 18 cm	9.78054E+12		Dictionary.
8100	AG 5 N582 2018 5e	Webster's new world	"Nichols, Bruce "	New York	Houghton Miffin Harcourt Publishing Company	2018	5th	1701 pages ; illustrations ; 24 cm	9.78133E+12		English language--Dictionaries.
7169	AG 5 P294 1988	English dictionary	"Patterson, R. F."		Ramboro-London	1988	na	NA	na		English Dictionary.
7166	AG 5 P3971 2001	The Penguin : A - Z Thesaurus	Penguin Books	London                                       	Penguin Group	2001	N/A	442 pages ; 20 cm	na		English -- synonyms and antonyms -- dictionaries.  English language -- Synonyms and antonyms.
7277	AG 5 U549 2008	Easy-to-access English dictionary	"Underhill, J.A "		Harmony Publishing House	2008	N/A	192 pages ; 17cm			English Dictionary
